CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
fourth_gen_jet_aircraft_desc;Jet Aircraft from the 1990s could fly with more payload.;;;;;;;;;;;;;;
sixth_gen_jet_aircraft;6th Gen Jet Aircraft;;;;;;;;;;;;;; 
sixth_gen_jet_aircraft_desc;These are powerful machines.;;;;;;;;;;;;;;
post_ww2_thought;Post WW2 Military Strategy;;;;;;;;;;;;;; 
post_ww2_thought_desc;Post WW2 strategies centre on greater integration and coordination between the various branches of the military.;;;;;;;;;;;;;;
proxy_war_thought;Proxy War Strategy;;;;;;;;;;;;;;
proxy_war_thought_desc;Proxy War is a war fought indirectly though the use of regional puppets.;;;;;;;;;;;;;;
cnbc_strategy;WMD Strategy;;;;;;;;;;;;;;
cnbc_strategy_desc;The military is prepared to use and defend against weapons of mass destruction.;;;;;;;;;;;;;;  
joint_chiefs_of_staff;Joint Chiefs of Staff;;;;;;;;;;;;;;
joint_chiefs_of_staff_strategy_desc;Better coordination between the armed services help to make our military more effective in combat.;;;;;;;;;;;;;;
rapid_escalation;Rapid Escalation;;;;;;;;;;;;;; 
rapid_escalation_desc;The military has adopted a strategy of rapid escalation where all services have been trained to reach full combat readiness in 24 hours.;;;;;;;;;;;;;; 
21st_century_tactics;21st Century Military Tactics;;;;;;;;;;;;;;
21st_century_tactics_desc;21st Century Tactics focus on a rapid strike rather than a protracted war.;;;;;;;;;;;;;;
network_integration;Network Integration;;;;;;;;;;;;;;
network_integration_desc;Cyberspace is integrated into military strategies.;;;;;;;;;;;;;;
asymmetric_warfare_invention;Asymmetric Warfare;;;;;;;;;;;;;;
asymmetric_warfare_invention_desc;Asymmetric Warfare;;;;;;;;;;;;;;
space_warfare;Space Warfare;;;;;;;;;;;;;;
space_warfare_desc;Space is the new frontier for armed conflict.;;;;;;;;;;;;;;
space_warfare;Space Warfare;;;;;;;;;;;;;;
space_warfare_desc;Space is the new frontier for armed conflict.;;;;;;;;;;;;;;
future_war_tactics;Tactics of the Future;;;;;;;;;;;;;;
future_war_tactics_desc;Tactics of the Future;;;;;;;;;;;;;;
modern_shipyard_invention;Post War Shipbuilding Techniques;;;;;;;;;;;;;;
modern_shipyard_invention_desc;Modern shipbuilding techniques allow us to build more damage resillient ships.;;;;;;;;;;;;;;
artificial_island_invention;Specialised Naval Industry;;;;;;;;;;;;;;
artificial_island_invention_desc;Specialisation of our naval engineers allows us to build better ships.;;;;;;;;;;;;;;
anti_ship_missiles_invention;Anti-Ship Countermeasures;;;;;;;;;;;;;;
anti_ship_missiles_invention_desc;Anti Ship Countermeasures are missiles loaded onto ships that can be used against enemy ships. Being powered by a rocket engine, it can strike enemy ships from a greater distance and harder.;;;;;;;;;;;;;;
submarine_base_invention;Modern Submarine Construction;;;;;;;;;;;;;;
submarine_base_invention_desc;Building on the experiences of the Second World War II, our naval engineers have been able to make our submarines more effective.;;;;;;;;;;;;;;
marine_radar_invention;Advanced Warning Marine Radar;;;;;;;;;;;;;;
marine_radar_invention_desc;These radars allow our ships to be warned of any incoming weapons.;;;;;;;;;;;;;;
anti_ship_balistic_missiles_invention;Modern Anti-Ship Missiles;;;;;;;;;;;;;;
anti_ship_balistic_missiles_invention_desc;These missiles are faster and can carry a larger payload.;;;;;;;;;;;;;;
naval_warfare_center_invention;Naval Command Centre;;;;;;;;;;;;;;
naval_warfare_center_invention_desc;The Naval Command Centre concentrates and streamlines naval decision making.;;;;;;;;;;;;;;
anti_ship_ballistic_missile_invention;Modern Anti-Ship Ballistic Missiles;;;;;;;;;;;;;;
anti_ship_ballistic_missile_invention_desc;These missiles are faster and can carry a larger payload.;;;;;;;;;;;;;;
anti_ship_ballistic_missile_invention;Modern Anti-Ship Ballistic Missiles;;;;;;;;;;;;;;
anti_ship_ballistic_missile_invention_desc;These missiles are faster and can carry a larger payload.;;;;;;;;;;;;;;
modern_cruiser_invention;Cruiser;;;;;;;;;;;;;;
modern_cruiser_invention_desc;In the later 20th century, the obsolescence of the battleship left the cruiser as the largest and most powerful surface combatant after the aircraft carrier. The role of the cruiser varied according to ship and navy, often including air defense and shore bombardment.;;;;;;;;;;;;;;
crusier_upgrade_invention;Improved Cruiser Design;;;;;;;;;;;;;;
crusier_upgrade_invention_desc;In the later 20th century, the obsolescence of the battleship left the cruiser as the largest and most powerful surface combatant after the aircraft carrier. The role of the cruiser varied according to ship and navy, often including air defense and shore bombardment.;;;;;;;;;;;;;;
modern_corvettes_invention;Corvette;;;;;;;;;;;;;;
modern_corvettes_invention_desc;A corvette is a small warship. It is traditionally the smallest class of vessel considered to be a proper warship. The warship class above the corvette is that of the frigate, while the class below was historically that of the sloop-of-war. The modern types of ship below a corvette are coastal patrol craft, missile boat and fast attack craft. In modern terms, a corvette is typically between 500 tons and 2,000 tons, although recent designs may approach 3,000 tons, which might instead be considered a small frigate.;;;;;;;;;;;;;;
corvette_upgrade_invention;Improved Corvette Design;;;;;;;;;;;;;;
corvette_upgrade_invention_desc;A corvette is a small warship. It is traditionally the smallest class of vessel considered to be a proper warship. The warship class above the corvette is that of the frigate, while the class below was historically that of the sloop-of-war. The modern types of ship below a corvette are coastal patrol craft, missile boat and fast attack craft. In modern terms, a corvette is typically between 500 tons and 2,000 tons, although recent designs may approach 3,000 tons, which might instead be considered a small frigate.;;;;;;;;;;;;;;
modern_frigates_invention;Frigate;;;;;;;;;;;;;;
modern_frigates_invention_desc;In modern navies, frigates are used to protect other warships and merchant-marine ships, especially as anti-submarine warfare (ASW) combatants for amphibious expeditionary forces, underway replenishment groups, and merchant convoys. Ship classes dubbed "frigates" have also more closely resembled corvettes, destroyers, cruisers and even battleships.;;;;;;;;;;;;;;
frigate_upgrade_invention;Improved Frigate Design;;;;;;;;;;;;;;
frigate_upgrade_invention_desc;In modern navies, frigates are used to protect other warships and merchant-marine ships, especially as anti-submarine warfare (ASW) combatants for amphibious expeditionary forces, underway replenishment groups, and merchant convoys. Ship classes dubbed "frigates" have also more closely resembled corvettes, destroyers, cruisers and even battleships.;;;;;;;;;;;;;;
modern_destroyers_invention;Destroyer;;;;;;;;;;;;;;
modern_destroyers_invention_desc;After the war, the advent of the guided missile allowed destroyers to take on the surface combatant roles previously filled by battleships and cruisers. This resulted in larger and more powerful guided missile destroyers more capable of independent operation.;;;;;;;;;;;;;;
destroyer_upgrade_invention;Improved Destroyer Design;;;;;;;;;;;;;;
destroyer_upgrade_invention_desc;After the war, the advent of the guided missile allowed destroyers to take on the surface combatant roles previously filled by battleships and cruisers. This resulted in larger and more powerful guided missile destroyers more capable of independent operation.;;;;;;;;;;;;;;
destroyer_upgrade_invention;Improved Destroyer Design;;;;;;;;;;;;;;
destroyer_upgrade_invention_desc;After the war, the advent of the guided missile allowed destroyers to take on the surface combatant roles previously filled by battleships and cruisers. This resulted in larger and more powerful guided missile destroyers more capable of independent operation.;;;;;;;;;;;;;;
nuclear_submarine_invention;Nuclear Submarine;;;;;;;;;;;;;;
nuclear_submarine_invention_desc;A nuclear submarine is a submarine powered by a nuclear reactor. The performance advantages of nuclear submarines over "conventional" (typically diesel-electric) submarines are considerable. Nuclear propulsion, being completely independent of air, frees the submarine from the need to surface frequently, as is necessary for conventional submarines.;;;;;;;;;;;;;;
submarine_upgrade_invention;Improved Submarine Design;;;;;;;;;;;;;;
submarine_upgrade_invention_desc;A nuclear submarine is a submarine powered by a nuclear reactor. The performance advantages of nuclear submarines over "conventional" (typically diesel-electric) submarines are considerable. Nuclear propulsion, being completely independent of air, frees the submarine from the need to surface frequently, as is necessary for conventional submarines.;;;;;;;;;;;;;;
vehicle_cargo_ship_invention;Modern Transport Ships;;;;;;;;;;;;;;
vehicle_cargo_ship_invention_desc;Sealift is a term used predominantly in military logistics and refers to the use of cargo ships for the deployment of military assets, such as weaponry, vehicles, military personnel, and supplies. It complements other means of transport, such as strategic airlifters, in order to enhance a state's ability to project power.;;;;;;;;;;;;;;
guided_missile_destroyers_invention;Guided Missiles;;;;;;;;;;;;;;
guided_missile_destroyers_invention_desc;Guided missiles are missiles that can be remotely directed to its target.;;;;;;;;;;;;;;
ballistic_missile_submarine_invention;21st Century Submarine;;;;;;;;;;;;;;
ballistic_missile_submarine_invention_desc;These submarines are much more effective in combat.;;;;;;;;;;;;;;
sea_control_ships_invention;21st Century Naval Design;;;;;;;;;;;;;;
sea_control_ships_invention_desc;These ships are much more effective in combat.;;;;;;;;;;;;;;
magnetohydrodynamic_propulsors_invention;Naval Propulsion of the Future;;;;;;;;;;;;;;
magnetohydrodynamic_propulsors_invention_desc;These ships are much more effective in combat.;;;;;;;;;;;;;;
ww2_aircraft_carrier_invention;Post War Aircraft Carrier;;;;;;;;;;;;;;
ww2_aircraft_carrier_invention_desc;These aircraft carriers are much more effective in combat.;;;;;;;;;;;;;;
carrier_battle_group_invention;1960s Aircraft Carrier;;;;;;;;;;;;;;
carrier_battle_group_invention_desc;These aircraft carriers are much more effective in combat.;;;;;;;;;;;;;;
helicopter_carrier_invention;Naval Helicopters;;;;;;;;;;;;;;
helicopter_carrier_invention_desc;These helicopters allow aircraft carriers to be more effective in combat.;;;;;;;;;;;;;;
vertical_take_off_and_landing_invention;VTOL Aircraft;;;;;;;;;;;;;;
vertical_take_off_and_landing_invention_desc;These VTOL Aircraft allow aircraft carriers to carry more aircraft.;;;;;;;;;;;;;;
aircraft_carrier_invention;21st Century Aircraft Carrier;;;;;;;;;;;;;;
aircraft_carrier_invention_desc;These aircraft carriers are much more effective in combat.;;;;;;;;;;;;;;
nuclear_reactors_invention;Modern Nuclear Reactors;;;;;;;;;;;;;;
nuclear_reactors_invention_desc;These aircraft carriers are much more effective in combat.;;;;;;;;;;;;;;
supercarriers_invention;Supercarrier Design;;;;;;;;;;;;;;
supercarriers_invention_desc;These aircraft carriers are much more effective in combat.;;;;;;;;;;;;;;
electromagnetic_aircraft_launch_invention;Modern Aircraft Launch System;;;;;;;;;;;;;;
electromagnetic_aircraft_launch_invention_desc;These aircraft carriers are much more effective in combat.;;;;;;;;;;;;;;
higher_density_reactor_invention;Improved Nuclear Reactor Design;;;;;;;;;;;;;;
higher_density_reactor_invention_desc;These aircraft carriers are much more effective in combat.;;;;;;;;;;;;;;
nextgen_supercarriers_invention;Improved Supercarrier Design;;;;;;;;;;;;;;
nextgen_supercarriers_invention_desc;These aircraft carriers are much more effective in combat.;;;;;;;;;;;;;;
missile_guidance_system_invention;Integrated Missile Guidance System;;;;;;;;;;;;;;
missile_guidance_system_invention_desc;This system allows ships to fire and control missiles remotely.;;;;;;;;;;;;;;
cruise_missile_invention;Cruise Missile Guidance System;;;;;;;;;;;;;;
cruise_missile_invention_desc;This system allows ships to fire and control missiles remotely.;;;;;;;;;;;;;;
ship_defense_system_invention;Modern Ship Defense System;;;;;;;;;;;;;;
ship_defense_system_invention_desc;This system allows ships to protect themselves from anti-ship missiles better.;;;;;;;;;;;;;;
plasma_gasification_invention;Plasma Gas Powered Gun;;;;;;;;;;;;;;
plasma_gasification_invention_desc;This system allows ships to fire their guns faster.;;;;;;;;;;;;;;
battlecrusier_invention;Battlecruiser Design;;;;;;;;;;;;;;
battlecrusier_invention_desc;Battlecruisers were put into action again during World War II, and only one survived to the end. There was also renewed interest in large "cruiser-killer" type warships, but few were ever begun, as construction of battleships and battlecruisers was curtailed in favor of more-needed convoy escorts, aircraft carriers, and cargo ships. In the post–Cold War era, the Soviet Kirov class of large guided missile cruisers have also been termed "battlecruisers".;;;;;;;;;;;;;;
cement_manufacturing;Cement Manufacturing;;;;;;;;;;;;;;
cement_manufacturing_desc;Cement manufacturing is a complex process that begins with mining and then grinding raw materials that include limestone and clay, to a fine powder, called raw meal, which is then heated to a sintering temperature as high as 1450C in a cement kiln.;;;;;;;;;;;;;;
machine_parts_manufacturing;Machine Parts Manufacturing;;;;;;;;;;;;;;
machine_parts_manufacturing_desc;Machine parts are parts used in industrial machines.;;;;;;;;;;;;;;
electric_gear_manufacturing;Electric Gear Manufacturing;;;;;;;;;;;;;;
electric_gear_manufacturing_desc;Electric Gear consists of the electronic hardware used in industrial machines.;;;;;;;;;;;;;;
steel_factory_manufacturing;Steel Manufacturing;;;;;;;;;;;;;;
steel_factory_manufacturing_desc;The technique to make steel is a pathway to abilities some consider unnatural.;;;;;;;;;;;;;;
coal_power_plant;Coal-fired Power Station;;;;;;;;;;;;;;
coal_power_plant_desc;A coal-fired power station is a type of fossil fuel power station. The coal is usually pulverised and then burned in a pulverised coal-fired boiler. The furnace heat converts boiler water to steam, which is then used to spin turbines that turn generators. Thus chemical energy stored in coal is converted successively into thermal energy, mechanical energy and, finally, electrical energy.;;;;;;;;;;;;;;
gas_power_plant;Gas-fired Power Station;;;;;;;;;;;;;;
gas_power_plant_desc;A gas-fired power plant is a type of fossil fuel power station in which chemical energy stored in natural gas, which is mainly methane, is converted successively into: thermal energy, mechanical energy and, finally, electrical energy. Although they cannot exceed the Carnot cycle limit for conversion of heat energy into useful work the excess heat may be used in cogeneration plants to heat buildings, produce hot water, or to heat materials on an industrial scale.;;;;;;;;;;;;;;
nuclear_power_plant;Nuclear Power Station;;;;;;;;;;;;;;
nuclear_power_plant_desc;A nuclear power plant is a thermal power station in which the heat source is a nuclear reactor. As is typical of thermal power stations, heat is used to generate steam that drives a steam turbine connected to a generator that produces electricity.;;;;;;;;;;;;;;
petroleum_processing;Gasoline Processing;;;;;;;;;;;;;;
petroleum_processing_desc;Gasoline, or petrol is a clear petroleum-derived flammable liquid that is used primarily as a fuel in most spark-ignited internal combustion engines. It consists mostly of organic compounds obtained by the fractional distillation of petroleum, enhanced with a variety of additives.;;;;;;;;;;;;;;
natural_gas_processing;Natural Gas Processing;;;;;;;;;;;;;;
natural_gas_processing_desc;Natural gas, is a naturally occurring hydrocarbon gas mixture consisting primarily of methane, but commonly including varying amounts of other higher alkanes, and sometimes a small percentage of carbon dioxide, nitrogen, hydrogen sulfide, or helium. It is formed when layers of decomposing plant and animal matter are exposed to intense heat and pressure under the surface of the Earth over millions of years. The energy that the plants originally obtained from the sun is stored in the form of chemical bonds in the gas.;;;;;;;;;;;;;;
oil_power_plant;Oil Power Plant;;;;;;;;;;;;;;
oil_power_plant_desc;Heavy fuel oil was once a significant source of energy for electric power generation. After oil price increases of the 1970s, oil was displaced by coal and later natural gas. Distillate oil is still important as the fuel source for diesel engine power plants used especially in isolated communities not interconnected to a grid. Liquid fuels may also be used by gas turbine power plants, especially for peaking or emergency service. Of the three fossil fuel sources, oil has the advantages of easier transportation and handling than solid coal, and easier on-site storage than natural gas.;;;;;;;;;;;;;;
coal_liquifaction;Coal Liquefaction;;;;;;;;;;;;;;
coal_liquifaction_desc;Coal liquefaction originally was developed at the beginning of the 20th century. Although it was generally much more expensive to produce oil from coal than from natural petroleum, the political as well as economic importance of achieving as much independence as possible in this sphere was sufficient to overcome any objections. CTL also received new interest in the early 2000s as a possible mitigation option for reducing oil dependence, at a time when rising oil prices and concerns over peak oil made planners rethink existing supply chains for liquid fuels.;;;;;;;;;;;;;;
cyborg_anthropology;Cyborg Anthropology;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
cyborg_anthropology_desc;Evolving out of an exploration of the impact of science on culture, and vis versa, cyborg anthropology seeks to use an anthropological lens to analyze the potential ramifications of new technology and the relationship of humans to it.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
dark_enlightenment;Dark Enlightenment;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
dark_enlightenment_desc;Also referred to as the neo-reactionary movement (or NRx), the Dark Enlightenment is a modern attempt to revive anti-Enlightenment sentiments and traditionalist thought. Often intertwining with other reactionary movements like fascism, it rejects on the whole concepts of secularism, pluralism, intellectualism, and often republicanism – amid a host of other ideas.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
techno_progressivism;Techno-progressivism;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
techno_progressivism_desc;Techno-progressivism is an ideological mixture of transhumanism and progressive thought that seeks to pursue technocracy within the framework of liberal democracy - with a focus on accountability and transparency.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
economic_democracy;Economic Democracy;;x;;;;;;;;;;;;;;;;
economic_democracy_desc;Economic Democracy refers to an economic model in which decision making, rather than being based around corporate shareholders or managers, is based around the various workers that make up various parts of an enterprise. Often contrasting itself with capitalism and more statist socialism, it instead seeks a decentralized model to secure economic rights through either a market system or as part of a decentrally planned economic model.;;x;;;;;;;;;;;;;;;;
participatory_economy;Participatory Economy;;x;;;;;;;;;;;;;;;;
participatory_economy_desc;Sometimes referred to as Parecon, Participatory economics is a economic model in which allocation of resources and production of goods is centered around either full or partial input from those effected by it, weighted to their impact from it. The principle itself heavily draws from the idea of a decentrally self-managed economy, with its creators Michael Albert and Robin Hahnel referring to it as an explicitly Anarchist economic model.;;x;;;;;;;;;;;;;;;;
peer_to_peer_economy;Peer-to-Peer Economy;;x;;;;;;;;;;;;;;;;
peer_to_peer_economy_desc;The advent of the internet facilitates the creation of new methods of organizing production, on of which is the peer-to-peer economy which brings with it a new economic model, Commons-based peer production – commonly abbreviated as CBPP. Under this model of economic organization the normal property and ownership relationships of market-based systems either do not exist or exist in very loose non-rigid forms. This creates a unique system in regards to the means of production that many point to as a possible alternative to more traditional market economies altogether.;;x;;;;;;;;;;;;;;;;
web_1;Web 1.0;;x;;;;;;;;;;;;;;;;
web_1_desc;Web 1.0 is a retronym applied to the early iterations of the internet defined by a few static, user-created, web pages that lacked much interactivity.;;x;;;;;;;;;;;;;;;;
web_2;Web 2.0;;x;;;;;;;;;;;;;;;;
web_2_desc;Web 2.0, also called the participatory web or the social web, refers to the iteration of the internet defined by interaction, content creation, and ease of use. This era of the internet is defined by websites that allow users to not only consume content, but also generate it themselves - as well as connect and interact with other users.;;x;;;;;;;;;;;;;;;;
web_3;Web 3.0;;x;;;;;;;;;;;;;;;;
web_3_desc;Web 3.0, or Web3, refers to a potential iteration of the internet that heavily relies on technological decentralization through blockchain technology, digital or crypto currency, and increased user privacy and anonimity. In theory, it seeks to be an internet completely controlled and guided by users rather than centralized external actors, corporations, or governments.;;x;;;;;;;;;;;;;;;;
new_left;New Left;;x;;;;;;;;;;;;;;;;
new_left_desc;The New Left was a social movement in the West among the left that sought to create social movements and pressure towards emerging issues at the time such as extended political and civil rights, enviromentalism, feminism, gay rights, and more. These movements often distinquished themselves from previous ones in their heavier focus on social justice rather than solely on class struggle - with many seeing it as a revitilization of the left in the western world.;;x;;;;;;;;;;;;;;;;
eurocommunism_inv;Eurocommunism;;x;;;;;;;;;;;;;;;;
eurocommunism_inv_desc;Eurocommunism refers to a strain of communist thought that emerged in Western Europe during the later decades of the Cold War. Defined by a rejection of Soviet-style communism, it instead attempted to increasingly work within the systems found in western states in order to effect change, broaden their appeal, and reach out to new social movements emerging at the time. Often it also sough a reconciliation between the politics of the far-left with more reformist views, often abandoning the more hardline elements of class struggle and Marxist influence in favor of a more 'moderate' appearance.;;x;;;;;;;;;;;;;;;;
human_immunocontraception;Human-Approved Immunocontraception;;x;;;;;;;;;;;;;;;;
human_immunocontraception_desc;Immunocontraception, the process of utilizing an animal's immune system to prevent pregnancy or impregnation, has long been studied in nature. For decades the application to human contraception remained far-off, with concerns over safety, reversibility, and the method of transfer being debated issues among scientists. However, recently breakthroughs in medical science have allowed a method that has been deemed safe enough for wide-spread human use - ushering in a new and more potent form of contraception.;;x;;;;;;;;;;;;;;;;
reversible_inhibition;RISUG;;x;;;;;;;;;;;;;;;;
reversible_inhibition_desc;Reversible inhibition of sperm under guidance (RISUG for short) is a male contraceptive method that works via an injection of gel that serves a similar function to a vasectomy.;;x;;;;;;;;;;;;;;;;
sustainable_population;Sustainable Population;;x;;;;;;;;;;;;;;;;
