CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
BOH_metaregion;Czechia;;;;;;;;;x;;;;;;;;;;;;;;;;
BOS_metaregion;Bosnia;;;;;;;;;x;;;;;;;;;;;;;;;;
BYE_metaregion;Belarus;;;;;;;;;x;;;;;;;;;;;;;;;;
BUL_metaregion;Bulgaria;;;;;;;;;x;;;;;;;;;;;;;;;;
CRO_metaregion;Croatia;;;;;;;;;x;;;;;;;;;;;;;;;;
CYP_metaregion;Cyprus;;;;;;;;;x;;;;;;;;;;;;;;;;
CZH_metaregion;Czechoslovakia;;;;;;;;;x;;;;;;;;;;;;;;;;
DEN_metaregion;Denmark;;;;;;;;;x;;;;;;;;;;;;;;;;
ENG_metaregion;United Kingdom;;;;;;;;;x;;;;;;;;;;;;;;;;
EST_metaregion;Estonia;;;;;;;;;x;;;;;;;;;;;;;;;;
FIN_metaregion;Finland;;;;;;;;;x;;;;;;;;;;;;;;;;
FRA_metaregion;France;;;;;;;;;x;;;;;;;;;;;;;;;;
GER_metaregion;Germany;;;;;;;;;x;;;;;;;;;;;;;;;;
GRE_metaregion;Greece;;;;;;;;;x;;;;;;;;;;;;;;;;
HUN_metaregion;Hungary;;;;;;;;;x;;;;;;;;;;;;;;;;
IRE_metaregion;Ireland;;;;;;;;;x;;;;;;;;;;;;;;;;
ITA_metaregion;Italy;;;;;;;;;x;;;;;;;;;;;;;;;;
LAT_metaregion;Latvia;;;;;;;;;x;;;;;;;;;;;;;;;;
LIT_metaregion;Lithuania;;;;;;;;;x;;;;;;;;;;;;;;;;
MAC_metaregion;Macedonia;;;;;;;;;x;;;;;;;;;;;;;;;;
MOL_metaregion;Moldova;;;;;;;;;x;;;;;;;;;;;;;;;;
MON_metaregion;Montenegro;;;;;;;;;x;;;;;;;;;;;;;;;;
NET_metaregion;Netherlands;;;;;;;;;x;;;;;;;;;;;;;;;;
NOR_metaregion;Norway;;;;;;;;;x;;;;;;;;;;;;;;;;
POL_metaregion;Poland;;;;;;;;;x;;;;;;;;;;;;;;;;
POR_metaregion;Portugal;;;;;;;;;x;;;;;;;;;;;;;;;;
ROM_metaregion;Romania;;;;;;;;;x;;;;;;;;;;;;;;;;
RUS_metaregion;Russia;;;;;;;;;x;;;;;;;;;;;;;;;;
SER_metaregion;Serbia;;;;;;;;;x;;;;;;;;;;;;;;;;
SLO_metaregion;Slovenia;;;;;;;;;x;;;;;;;;;;;;;;;;
SLV_metaregion;Slovakia;;;;;;;;;x;;;;;;;;;;;;;;;;
SPA_metaregion;Spain;;;;;;;;;x;;;;;;;;;;;;;;;;
SWE_metaregion;Sweden;;;;;;;;;x;;;;;;;;;;;;;;;;
SWI_metaregion;Switzerland;;;;;;;;;x;;;;;;;;;;;;;;;;
UKR_metaregion;Ukraine;;;;;;;;;x;;;;;;;;;;;;;;;;
YUG_metaregion;Yugoslavia;;;;;;;;;x;;;;;;;;;;;;;;;;
CAN_metaregion;Canada;;;;;;;;;x;;;;;;;;;;;;;;;;
COS_metaregion;Costa Rica;;;;;;;;;x;;;;;;;;;;;;;;;;
CUB_metaregion;Cuba;;;;;;;;;x;;;;;;;;;;;;;;;;
GUA_metaregion;Guatemala;;;;;;;;;x;;;;;;;;;;;;;;;;
HON_metaregion;Honduras;;;;;;;;;x;;;;;;;;;;;;;;;;
MEX_metaregion;Mexico;;;;;;;;;x;;;;;;;;;;;;;;;;
NIC_metaregion;Nicaragua;;;;;;;;;x;;;;;;;;;;;;;;;;
PNM_metaregion;Panama;;;;;;;;;x;;;;;;;;;;;;;;;;
USA_metaregion;United States;;;;;;;;;x;;;;;;;;;;;;;;;;
ARG_metaregion;Argentina;;;;;;;;;x;;;;;;;;;;;;;;;;
BOL_metaregion;Bolivia;;;;;;;;;x;;;;;;;;;;;;;;;;
BRZ_metaregion;Brazil;;;;;;;;;x;;;;;;;;;;;;;;;;
CHL_metaregion;Chile;;;;;;;;;x;;;;;;;;;;;;;;;;
CLM_metaregion;Colombia;;;;;;;;;x;;;;;;;;;;;;;;;;
ECU_metaregion;Ecuador;;;;;;;;;x;;;;;;;;;;;;;;;;
GUY_metaregion;Guyana;;;;;;;;;x;;;;;;;;;;;;;;;;
PEU_metaregion;Peru;;;;;;;;;x;;;;;;;;;;;;;;;;
PRG_metaregion;Paraguay;;;;;;;;;x;;;;;;;;;;;;;;;;
URU_metaregion;Uruguay;;;;;;;;;x;;;;;;;;;;;;;;;;
VNZ_metaregion;Venezuela;;;;;;;;;x;;;;;;;;;;;;;;;;
ALG_metaregion;Algeria;;;;;;;;;x;;;;;;;;;;;;;;;;
ANG_metaregion;Angola;;;;;;;;;x;;;;;;;;;;;;;;;;
BEN_metaregion;Benin;;;;;;;;;x;;;;;;;;;;;;;;;;
BOT_metaregion;Botswana;;;;;;;;;x;;;;;;;;;;;;;;;;
BUF_metaregion;Burkina Faso;;;;;;;;;x;;;;;;;;;;;;;;;;
CAR_metaregion;Central African Republic;;;;;;;;;x;;;;;;;;;;;;;;;;
CHA_metaregion;Chad;;;;;;;;;x;;;;;;;;;;;;;;;;
CMR_metaregion;Cameroon;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_metaregion;Congo-Kinshasa;;;;;;;;;x;;;;;;;;;;;;;;;;
EGY_metaregion;Egypt;;;;;;;;;x;;;;;;;;;;;;;;;;
ERI_metaregion;Eritrea;;;;;;;;;x;;;;;;;;;;;;;;;;
ETH_metaregion;Ethiopia;;;;;;;;;x;;;;;;;;;;;;;;;;
GAB_metaregion;Gabon;;;;;;;;;x;;;;;;;;;;;;;;;;
GHA_metaregion;Ghana;;;;;;;;;x;;;;;;;;;;;;;;;;
GUE_metaregion;Guinea;;;;;;;;;x;;;;;;;;;;;;;;;;
IVC_metaregion;Ivory Coast;;;;;;;;;x;;;;;;;;;;;;;;;;
KEN_metaregion;Kenya;;;;;;;;;x;;;;;;;;;;;;;;;;
LIB_metaregion;Liberia;;;;;;;;;x;;;;;;;;;;;;;;;;
LBY_metaregion;Libya;;;;;;;;;x;;;;;;;;;;;;;;;;
MAD_metaregion;Madagascar;;;;;;;;;x;;;;;;;;;;;;;;;;
MLI_metaregion;Mali;;;;;;;;;x;;;;;;;;;;;;;;;;
MAU_metaregion;Mauritania;;;;;;;;;x;;;;;;;;;;;;;;;;
MOR_metaregion;Morocco;;;;;;;;;x;;;;;;;;;;;;;;;;
MOZ_metaregion;Mozambique;;;;;;;;;x;;;;;;;;;;;;;;;;
NAM_metaregion;Namibia;;;;;;;;;x;;;;;;;;;;;;;;;;
NIG_metaregion;Niger;;;;;;;;;x;;;;;;;;;;;;;;;;
NGE_metaregion;Nigeria;;;;;;;;;x;;;;;;;;;;;;;;;;
ROC_metaregion;Congo-Brazzaville;;;;;;;;;x;;;;;;;;;;;;;;;;
SEN_metaregion;Senegal;;;;;;;;;x;;;;;;;;;;;;;;;;
SRN_metaregion;Sierra Leone;;;;;;;;;x;;;;;;;;;;;;;;;;
SOM_metaregion;Somalia;;;;;;;;;x;;;;;;;;;;;;;;;;
SAF_metaregion;South Africa;;;;;;;;;x;;;;;;;;;;;;;;;;
SSU_metaregion;South Sudan;;;;;;;;;x;;;;;;;;;;;;;;;;
SUD_metaregion;Sudan;;;;;;;;;x;;;;;;;;;;;;;;;;
TAN_metaregion;Tanzania;;;;;;;;;x;;;;;;;;;;;;;;;;
TOG_metaregion;Togo;;;;;;;;;x;;;;;;;;;;;;;;;;
TUN_metaregion;Tunisia;;;;;;;;;x;;;;;;;;;;;;;;;;
UGA_metaregion;Uganda;;;;;;;;;x;;;;;;;;;;;;;;;;
ZAM_metaregion;Zambia;;;;;;;;;x;;;;;;;;;;;;;;;;
ZIM_metaregion;Zimbabwe;;;;;;;;;x;;;;;;;;;;;;;;;;
AFG_metaregion;Afghanistan;;;;;;;;;x;;;;;;;;;;;;;;;;
ARM_metaregion;Armenia;;;;;;;;;x;;;;;;;;;;;;;;;;
AZB_metaregion;Azerbaijan;;;;;;;;;x;;;;;;;;;;;;;;;;
BNG_metaregion;Bangladesh;;;;;;;;;x;;;;;;;;;;;;;;;;
BUR_metaregion;Myanmar;;;;;;;;;x;;;;;;;;;;;;;;;;
CAM_metaregion;Cambodia;;;;;;;;;x;;;;;;;;;;;;;;;;
CHI_metaregion;China;;;;;;;;;x;;;;;;;;;;;;;;;;
DAI_metaregion;Vietnam;;;;;;;;;x;;;;;;;;;;;;;;;;
SVI_metaregion;South Vietnam;;;;;;;;;x;;;;;;;;;;;;;;;;
NVI_metaregion;North Vietnam;;;;;;;;;x;;;;;;;;;;;;;;;;
GEO_metaregion;Georgia;;;;;;;;;x;;;;;;;;;;;;;;;;
HND_metaregion;Hindustan;;;;;;;;;x;;;;;;;;;;;;;;;;
IDO_metaregion;Indonesia;;;;;;;;;x;;;;;;;;;;;;;;;;
IRQ_metaregion;Iraq;;;;;;;;;x;;;;;;;;;;;;;;;;
JAP_metaregion;Japan;;;;;;;;;x;;;;;;;;;;;;;;;;
JOR_metaregion;Jordan;;;;;;;;;x;;;;;;;;;;;;;;;;
KAZ_metaregion;Kazakhstan;;;;;;;;;x;;;;;;;;;;;;;;;;
KYR_metaregion;Kyrgyzstan;;;;;;;;;x;;;;;;;;;;;;;;;;
LEB_metaregion;Lebanon;;;;;;;;;x;;;;;;;;;;;;;;;;
LUA_metaregion;Laos;;;;;;;;;x;;;;;;;;;;;;;;;;
MSY_metaregion;Malaysia;;;;;;;;;x;;;;;;;;;;;;;;;;
MGL_metaregion;Mongolia;;;;;;;;;x;;;;;;;;;;;;;;;;
KOR_metaregion;Korea;;;;;;;;;x;;;;;;;;;;;;;;;;
NKO_metaregion;North Korea;;;;;;;;;x;;;;;;;;;;;;;;;;
SKO_metaregion;South Korea;;;;;;;;;x;;;;;;;;;;;;;;;;
OMA_metaregion;Oman;;;;;;;;;x;;;;;;;;;;;;;;;;
PAK_metaregion;Pakistan;;;;;;;;;x;;;;;;;;;;;;;;;;
PAL_metaregion;Palestine;;;;;;;;;x;;;;;;;;;;;;;;;;
PER_metaregion;Iran;;;;;;;;;x;;;;;;;;;;;;;;;;
PHL_metaregion;Philippines;;;;;;;;;x;;;;;;;;;;;;;;;;
SAA_metaregion;Saudi Arabia;;;;;;;;;x;;;;;;;;;;;;;;;;
SRL_metaregion;Sri Lanka;;;;;;;;;x;;;;;;;;;;;;;;;;
SOV_metaregion;Soviet Union;;;;;;;;;x;;;;;;;;;;;;;;;;
SYR_metaregion;Syria;;;;;;;;;x;;;;;;;;;;;;;;;;
TAI_metaregion;Taiwan;;;;;;;;;x;;;;;;;;;;;;;;;;
TAJ_metaregion;Tajikstan;;;;;;;;;x;;;;;;;;;;;;;;;;
THI_metaregion;Thailand;;;;;;;;;x;;;;;;;;;;;;;;;;
TKR_metaregion;Turkmenistan;;;;;;;;;x;;;;;;;;;;;;;;;;
TUR_metaregion;Turkey;;;;;;;;;x;;;;;;;;;;;;;;;;
UZB_metaregion;Uzbekistan;;;;;;;;;x;;;;;;;;;;;;;;;;
YEM_metaregion;Yemen;;;;;;;;;x;;;;;;;;;;;;;;;;
HOU_metaregion;North Yemen;;;;;;;;;x;;;;;;;;;;;;;;;;
SYE_metaregion;South Yemen;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_metaregion;Australia;;;;;;;;;x;;;;;;;;;;;;;;;;
NZL_metaregion;New Zealand;;;;;;;;;x;;;;;;;;;;;;;;;;
PPN_metaregion;Papua New Guinea;;;;;;;;;x;;;;;;;;;;;;;;;;
BLO_metaregion;Balochistan;;;;;;;;;x;;;;;;;;;;;;;;;;
DRA_metaregion;Dravidistan;;;;;;;;;x;;;;;;;;;;;;;;;;
KUR_metaregion;Kurdistan;;;;;;;;;x;;;;;;;;;;;;;;;;
TIB_metaregion;Tibet;;;;;;;;;x;;;;;;;;;;;;;;;;
ETS_metaregion;Uyghurstan;;;;;;;;;x;;;;;;;;;;;;;;;;
